Symbol,Price
PNW,78.089996
PPG,108.989998
PPL,28.74
PRGO,71.870003
PRU,101.059998
PSA,199.490005
PSX,112.879997
PVH,144.050003
PWR,32.880001
PX,162.330002
PXD,172.0
PYPL,88.989998
QCOM,71.709999
QRVO,74.720001
RCL,129.320007
RE,228.190002
REG,63.459999
REGN,406.0
RF,18.540001
RHI,69.629997
RHT,134.009995
RJF,92.449997
RL,137.660004
RMD,114.589996
ROK,189.470001
ROL,59.259998
ROP,293.842407
ROST,99.459999
RSG,72.275002
RTN,205.075699
SBAC,158.5
SBUX,57.34
SCG,37.43
SCHW,50.52
SEE,39.91
SHW,455.519989
SIVB,313.130005
SJM,102.370003
SLB,61.169998
SLG,96.379997
SNA,184.240005
SNPS,98.650002
SO,43.240002
SPG,175.470001
SPGI,204.029999
SRCL,58.41
SRE,112.0
STI,67.230003
STT,85.220001
STX,46.57
STZ,214.940002
SWK,147.46000700000005
SWKS,89.940002
SYF,31.57
SYK,175.03999299999995
SYMC,21.26
SYY,72.46891
T,32.930111
TAP,61.740002
TDG,372.649994
TEL,88.089996
TGT,87.510002
TIF,128.550003
TJX,111.809998
TMK,86.11174
TMO,244.320007
TPR,50.139999
TRIP,51.919998
TROW,110.099998
TRV,129.119995
TSCO,91.110001
TSN,59.790001
TSS,97.870003
TTWO,137.070007
TWTR,29.42
TXN,107.290001
TXT,71.5
UA,19.24
UAA,21.049999
UAL,88.339996
UDR,39.559254
UHS,126.330002
ULTA,279.27999900000003
UNH,264.649994
UNM,39.139999
UNP,163.800003
UPS,116.730003
URI,169.080002
USB,52.93
UTX,139.679993
V,150.020004
VAR,112.739998
VFC,93.120003
VIAB,33.849998
VLO,115.290001
VMC,113.029999
VNO,71.949997
VRSK,120.800003
VRSN,159.139999
VRTX,189.740005
VTR,53.170002
VZ,53.002674
WAT,195.360001
WBA,73.809998
WCG,320.630005
WDC,58.279999
WEC,65.839996
WELL,63.049999
WFC,52.82
WHR,118.940002
WLTW,140.78999299999995
WM,89.849998
WMB,27.26
WMT,94.129997
WRK,53.529999
WU,18.940001
WY,32.82
WYNN,128.940002
XEC,93.970001
XEL,46.580002
XLNX,79.900002
XOM,85.769997
XRAY,37.950001
XRX,26.85
XYL,80.290001
YUM,90.32
ZBH,129.71000700000002
ZION,50.299999
ZTS,91.199997
